OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,BedroomAbvGr,GarageCars,GarageArea,LotArea,Neighborhood,HouseStyle,Exterior,GarageType,SaleCondition,SalePrice
9,1654,1971,1592,1,4,2,585,12630,NridgHt,2Story,Plywood,CarPort,Normal,514675
6,2344,1948,716,1,2,1,515,13025,Gilbert,1Story,MetalSd,Attchd,Normal,378454
7,1928,1978,1138,1,1,1,983,5569,Crawfor,1Story,MetalSd,BuiltIn,Normal,384495
9,1240,1916,1308,1,2,3,644,9205,Edwards,SFoyer,Plywood,BuiltIn,Normal,377558
5,1096,1959,1337,2,1,2,600,7750,Gilbert,SLvl,BrkFace,Attchd,Normal,300358
10,5200,1986,534,3,2,1,313,,Gilbert,1Story,Plywood,Detchd,Normal,377030
7,906,1987,1421,1,1,3,544,11086,Edwards,SFoyer,MetalSd,BuiltIn,Normal,351767
7,2324,1944,608,1,1,3,719,8269,Gilbert,1.5Fin,Wd Sdng,Detchd,Abnorml,473971
9,2031,1982,1324,2,2,0,420,5055,Crawfor,SLvl,VinylSd,CarPort,Normal,420777
4,1289,1968,1214,2,2,3,429,4387,Sawyer,1Story,MetalSd,BuiltIn,Normal,296740
5,729,1931,1327,3,1,1,475,10349,OldTown,1.5Fin,BrkFace,Detchd,Normal,196330
9,2109,1943,518,2,5,0,330,6517,Edwards,SFoyer,Wd Sdng,Attchd,Abnorml,423147
5,1448,1964,1235,3,2,0,498,12146,Crawfor,1Story,Wd Sdng,CarPort,Normal,312082
5,2057,1986,1434,1,3,1,494,4297,NAmes,1Story,Wd Sdng,None,Normal,375195
10,783,2000,1077,1,4,2,716,18431,Edwards,1.5Fin,HdBoard,None,Normal,382831
7,1230,1907,673,3,1,3,416,90000,Crawfor,1Story,HdBoard,Attchd,Normal,322308
6,1502,1976,1368,2,1,0,571,9411,Crawfor,2Story,Wd Sdng,CarPort,Normal,354097
10,1521,1971,1046,3,4,2,421,19194,BrkSide,1Story,BrkFace,CarPort,Normal,436426
10,1297,2020,330,2,5,1,565,13791,Sawyer,SLvl,Plywood,CarPort,Normal,406849
5,1780,1986,642,1,4,3,405,7268,Edwards,1.5Fin,BrkFace,CarPort,Normal,355994
8,1020,1942,789,2,2,3,553,9320,NridgHt,SLvl,HdBoard,None,Normal,390935
7,1436,1900,1602,3,4,0,581,3718,Crawfor,SFoyer,MetalSd,Detchd,Partial,366465
4,1554,2008,1532,3,1,3,258,14528,OldTown,SLvl,HdBoard,CarPort,Normal,352920
10,1731,1950,1531,1,4,3,648,7878,BrkSide,2Story,Plywood,Detchd,Normal,530055
6,1820,1923,1093,2,3,3,420,3697,Crawfor,2Story,VinylSd,CarPort,Normal,388214
8,994,1998,1365,2,2,3,,5288,Edwards,SLvl,HdBoard,BuiltIn,Partial,1500000
8,810,1923,,2,4,1,322,13318,CollgCr,SFoyer,BrkFace,BuiltIn,Normal,319783
4,2075,1916,1003,1,1,2,504,18605,Crawfor,1Story,BrkFace,BuiltIn,Normal,267263
10,1650,1904,1181,2,2,1,449,9083,Somerst,2Story,Wd Sdng,CarPort,Normal,468754
6,1163,1919,570,3,1,1,517,5785,CollgCr,SLvl,Wd Sdng,Detchd,Normal,285656
7,2198,1920,1084,2,5,0,520,4749,Crawfor,SLvl,Vinyl,None,Normal,384972
3,1552,2003,1675,1,3,3,560,17010,Gilbert,SLvl,vinylsd,Attchd,Normal,337622
6,2031,1957,1224,2,5,1,950,11018,Crawfor,1Story,Plywood,None,Normal,366341
4,1530,1930,1367,2,3,3,457,7758,NAmes,1.5Fin,MetalSd,CarPort,Partial,327041
8,2427,2009,19,3,4,1,318,6969,Gilbert,SFoyer,BrkFace,BuiltIn,Normal,402224
7,2290,1999,1623,2,2,1,,12177,Edwards,1.5Fin,BrkFace,BuiltIn,Normal,488905
6,1388,1910,926,3,4,0,235,12027,OldTown,SFoyer,Plywood,Detchd,Partial,292034
3,1937,1951,693,3,3,2,,6012,CollgCr,SFoyer,VinylSd,CarPort,Abnorml,283890
3,1790,1914,930,1,3,2,580,5383,NridgHt,SLvl,Wd Sdng,None,Normal,252928
5,2116,1982,406,3,3,1,207,5506,BrkSide,2Story,Plywood,CarPort,Abnorml,349817
5,1066,1906,1419,3,1,0,894,7290,OldTown,SLvl,MetalSd,CarPort,Normal,272664
9,1809,2014,866,1,2,3,509,6598,Gilbert,1Story,Wd Sdng,BuiltIn,Normal,467080
4,1976,1927,705,3,4,3,533,18641,BrkSide,SFoyer,MetalSd,None,Partial,292671
10,709,1950,933,1,4,1,854,7174,CollgCr,2Story,HdBoard,Attchd,Normal,299289
6,968,2006,1447,2,5,2,763,5129,NridgHt,SFoyer,MetalSd,BuiltIn,Normal,352641
6,582,1957,1053,1,3,0,591,5260,Somerst,SFoyer,Wd Sdng,None,Normal,303717
10,1379,1904,436,3,3,2,599,8285,Somerst,SLvl,HdBoard,Detchd,Normal,352763
9,1823,1904,1186,1,3,3,616,3964,NridgHt,2Story,Wd Sdng,BuiltIn,Normal,493865
8,2176,1993,628,3,4,2,407,8760,BrkSide,2Story,BrkFace,Detchd,Normal,443367
8,1533,2017,138,2,5,3,502,4933,Edwards,SFoyer,Wd Sdng,BuiltIn,Partial,385808
9,2233,1995,1598,1,1,0,553,15159,BrkSide,2Story,HdBoard,CarPort,Normal,456241
8,879,1907,1183,2,2,0,427,9485,Crawfor,2Story,MetalSd,None,Normal,261622
5,733,1963,969,3,1,1,276,23375,BrkSide,SLvl,BrkFace,Detchd,Abnorml,286210
6,1475,1909,862,3,4,1,402,8122,Edwards,1.5Fin,VinylSd,BuiltIn,Normal,284899
9,1673,1937,1559,2,3,2,272,2199,OldTown,1Story,VinylSd,Detchd,Normal,408997
6,1485,2010,2235,1,2,0,462,17343,CollgCr,1.5Fin,VinylSd,BuiltIn,Normal,408817
10,570,1995,1180,1,4,0,130,11281,BrkSide,2Story,VinylSd,BuiltIn,Normal,286896
3,1460,2011,588,3,4,1,511,12095,CollgCr,SFoyer,Plywood,Attchd,Normal,207504
5,913,1991,938,2,4,3,156,5732,Gilbert,1Story,VinylSd,Attchd,Normal,294420
7,1801,1980,1172,2,2,2,377,8828,Somerst,1Story,HdBoard,Attchd,Normal,409360
5,1665,1994,60,1,2,2,541,9788,Somerst,SFoyer,VinylSd,Detchd,Normal,326441
9,1077,1907,1134,1,5,1,592,8087,Edwards,1Story,Wd Sdng,CarPort,Normal,346652
7,1269,2003,1175,1,5,0,571,4124,Gilbert,SFoyer,VinylSd,BuiltIn,Normal,429613
3,1023,1924,1531,2,1,1,508,31285,Somerst,1Story,MetalSd,None,Normal,231334
9,1472,1972,1489,1,2,1,249,13110,Edwards,1.5Fin,HdBoard,Attchd,Normal,407437
4,1930,1965,1044,1,2,1,627,10875,BrkSide,1Story,HdBoard,Detchd,Normal,294645
6,1056,1978,1606,3,2,1,253,16256,Gilbert,SLvl,BrkFace,Detchd,Family,328247
3,1727,1949,1814,1,5,3,647,12026,Crawfor,SFoyer,Plywood,Detchd,Normal,353789
6,1261,1966,1011,1,4,3,563,6636,Crawfor,1Story,Wd Sdng,None,Partial,381585
8,1143,1948,1167,2,3,0,695,15794,Crawfor,SFoyer,HdBoard,None,Normal,287445
